joint_entropy_,total_corr_,est_total_corr_lower,est_total_corr_upper
3.71277,361.04292,353.22303,389.25364
3.72158,361.61443,353.4696,378.57012
3.73053,362.3667,354.3562,395.24252
3.73952,363.16828,355.20098,397.78906
3.74833,363.73904,355.62044,393.55842
3.75709,364.25862,356.11327,385.02909
3.76593,364.87773,356.81026,395.35798
3.77548,366.36552,358.91022,380.1737
3.78483,367.60349,359.98423,377.66178
3.79414,368.79977,361.1609,392.0288
3.80259,368.93541,360.56921,367.30121
3.81184,370.0586,362.38673,388.79523
3.82079,370.81156,362.8918,372.49995
3.83013,372.04115,364.46138,379.57223
3.83938,373.15741,365.50827,412.31924
3.8488,374.48673,366.99482,383.99964
3.85787,375.39302,367.61671,416.01149
3.86684,376.1574,368.29162,411.85119
3.87567,376.76435,368.79818,409.32331
3.88423,377.03256,368.83998,378.01303
3.89307,377.64657,369.7027,408.05644
3.90245,378.92549,371.45227,380.68773
3.91185,380.23563,372.79345,389.46914
3.92134,381.64743,374.28527,394.75875
3.93051,382.66813,375.04383,410.54686
3.94007,384.17447,376.89662,392.47135
3.94891,384.78351,376.89204,415.26613
3.95769,385.32876,377.40181,411.17462
3.9671,386.64671,379.2652,408.30064
3.97642,387.85208,380.4018,425.25881
3.98594,389.30107,382.02931,405.49988
3.99541,390.69597,383.39615,399.45353
4.00465,391.80794,384.32109,394.11819
4.01337,392.26863,384.33871,411.56178
4.02282,393.6322,386.33806,415.33595
4.03167,394.26977,386.48084,415.38142
4.04116,395.68397,388.4433,407.72468
4.04962,395.8297,387.71755,393.16674
4.05891,396.99711,389.60299,424.70799
4.06786,397.74386,390.06687,438.91122
4.07683,398.52458,390.88012,442.6764
4.08581,399.31059,391.67879,442.66869
4.09497,400.31937,392.85126,449.10113
4.10428,401.52032,394.19482,449.16218
4.11326,402.30565,394.70082,449.53884
4.12234,403.21222,395.7006,458.28061
4.1314,404.10377,396.59076,457.38841
4.14065,405.2165,397.86618,437.49911
4.14986,406.29008,398.92182,443.27138
4.15925,407.57932,400.37005,421.99121
4.1678,407.83988,399.92556,417.88935
4.17667,408.49713,400.86686,437.97591
4.18558,409.19073,401.59459,451.18621
4.19454,409.95322,402.41383,451.12483
4.20345,410.65506,403.0825,452.69914
4.21234,411.32889,403.7458,456.67279
4.22169,412.57735,405.40222,440.3592
4.23058,413.25584,405.69423,457.48294
4.23897,413.31486,405.33189,410.30513
4.24819,414.4001,407.13825,446.42284
4.2574,415.46476,408.19785,453.4602
4.26653,416.44499,409.12863,462.76958
4.27554,417.26623,409.84859,468.6426
4.28491,418.5293,411.42754,441.54948
4.29368,419.06133,411.4612,436.73417
4.30261,419.79195,412.33852,468.3737
4.31189,420.9445,413.79305,473.91304
4.3208,421.6527,414.2019,450.1244
4.32981,422.46825,415.10094,476.04254
4.33875,423.2078,415.79671,453.40082
4.34759,423.83058,416.34731,441.69423
4.35649,424.50937,417.07387,464.6262
4.36537,425.17484,417.73898,464.36294
4.37456,426.22711,419.06875,454.83602
4.38355,427.02868,419.70541,466.60568
4.39284,428.19334,421.13124,465.31837
4.40181,428.97024,421.64811,466.56819
4.41042,429.3032,421.68171,443.98438
4.41957,430.30403,423.15501,476.06055
4.42891,431.53189,424.5497,456.15511
4.43813,432.61499,425.5416,462.5578
4.44772,434.14955,427.39893,461.31603
4.45705,435.36362,428.40001,490.32986
4.4659,436.0031,428.64973,472.86041
4.47476,436.63917,429.2923,472.9701
4.48369,437.36252,430.08513,483.92663
4.49289,438.41533,431.37568,479.20798
4.50159,438.86999,431.4241,457.9265
4.51044,439.4966,432.17885,469.7095
4.51911,439.90049,432.4369,444.65178
4.52815,440.76044,433.62227,487.06556
4.53725,441.69827,434.62322,491.50436
4.54657,442.90538,436.02646,478.77496
4.55561,443.76491,436.65391,490.21392
4.56455,444.49628,437.30532,500.47344
4.57366,445.44791,438.41884,505.67334
4.58272,446.33036,439.26237,503.40223
4.59207,447.57182,440.76222,465.67958
4.60137,448.7555,441.91512,466.18003
4.61037,449.57086,442.48397,449.189
4.61961,450.67299,443.79429,487.72826
4.62851,451.36315,444.20755,501.7747
4.63782,452.56695,445.77698,485.4286
4.64707,453.6818,446.83938,490.62792
4.65617,454.61898,447.6624,485.52078
4.66515,455.40968,448.36047,465.15805
4.67408,456.13058,449.04188,465.84933
4.68341,457.35031,450.61698,479.29493
4.69243,458.18257,451.18947,517.85407
4.70129,458.82083,451.70201,503.482
4.71032,459.67632,452.71722,508.65369
4.71896,460.04494,452.75673,461.14208
4.72806,460.97654,454.08798,481.00981
4.73684,461.51643,454.36492,503.60608
4.7456,462.03904,454.88429,500.55691
4.75438,462.5765,455.44085,472.83586
4.76369,463.77705,457.11069,483.04308
4.77233,464.14008,456.90138,483.78236
4.78172,465.43228,458.84753,514.13123
4.79057,466.06283,459.02794,508.95675
4.79956,466.86383,459.95617,495.1142
4.80848,467.57859,460.62002,472.3518
4.81725,468.10574,461.0258,502.02742
4.82634,469.02348,462.22359,479.8057
4.83498,469.39587,462.2263,492.90817
4.84393,470.15132,463.25643,515.30918
4.8527,470.67934,463.63545,513.59554
4.86195,471.79504,465.16809,493.80447
4.87112,472.81838,466.13652,512.30509
4.87999,473.46755,466.53499,520.10313
4.88918,474.51037,467.86009,499.2346
4.8981,475.22867,468.36218,532.25083
4.90655,475.36431,468.10207,480.12493
4.91532,475.8925,468.91136,517.73246
4.92378,476.03566,468.79587,478.70372
4.93289,476.98587,470.31505,483.68677
4.94173,477.60454,470.71256,525.1238
4.95115,478.93175,472.54072,502.11763
4.96054,480.22309,473.81657,517.55767
4.96944,480.91653,474.10413,535.20648
4.97835,481.61176,474.80952,488.62266
4.98762,482.76532,476.29029,497.5515
4.99663,483.58901,476.89417,491.10126
5.00554,484.28747,477.51466,520.79716
5.01498,485.63762,479.32634,512.65025
5.02448,487.06447,480.81589,509.2833
5.03336,487.73035,480.96276,521.45248
5.04254,488.77171,482.27377,525.20259
5.05183,489.93503,483.53099,506.00538
5.06124,491.25214,484.9642,527.19755
5.07077,492.71528,486.53816,510.88733
5.08016,494.01002,487.72547,516.39081
5.08951,495.25027,488.93728,510.66166
5.09902,496.69048,490.52571,524.14088
5.10831,497.86215,491.52039,521.81128
5.1175,498.91017,492.49182,521.12107
5.12703,500.37087,494.24832,522.46363
5.13664,501.93903,495.90065,523.73232
5.14557,502.66423,496.04999,569.38805
5.15461,503.52721,497.0176,574.984
5.164,504.8217,498.62082,526.66451
5.17301,505.64268,499.12233,574.76649
5.18238,506.9043,500.699,531.07308
5.19143,507.77833,501.31321,577.00131
5.20011,508.19841,501.42705,530.72819
5.2092,509.12053,502.70654,565.03582
5.21846,510.25906,504.00444,519.81274
5.22735,510.92978,504.35954,565.91603
5.23655,511.98479,505.69034,572.08991
5.24554,512.78437,506.32171,574.82399
5.25439,513.4169,506.8472,566.33872
5.26387,514.81594,508.78746,538.00764
5.27319,516.02772,509.87865,554.06148
5.28182,516.38413,509.65031,541.85894
5.29059,516.91533,510.31155,518.33668
5.29972,517.87955,511.58528,532.87212
5.30849,518.41028,511.82406,550.18018
5.31712,518.77178,512.07681,539.71187
5.32622,519.71205,513.42766,535.29124
5.33581,521.24505,515.38144,568.29445
5.34453,521.71601,515.12437,558.09256
5.35339,522.35274,515.88497,561.65748
5.36217,522.8933,516.36759,544.57421
5.37102,523.52629,517.07354,570.82648
5.3797,523.93794,517.34033,551.66067
5.38837,524.34347,517.75028,552.13863
5.39695,524.64436,517.98717,548.46086
5.40564,525.06808,518.50478,536.77887
5.41469,525.94671,519.70803,555.86811
5.42407,527.22425,521.27168,549.38918
5.43341,528.45013,522.47107,558.51713
5.44274,529.67685,523.70769,545.35826
5.45191,530.69446,524.58942,540.68525
5.4615,532.23925,526.50951,544.51331
5.47098,533.63224,527.80669,554.83712
5.48015,534.66039,528.59089,554.44544
5.48904,535.33296,529.02569,547.73835
5.49862,536.86183,531.15817,555.74842
5.50739,537.39039,531.00157,588.44655
5.5166,538.46445,532.46325,552.10997
5.52531,538.91694,532.49327,575.39216
5.53392,539.25129,532.75427,564.576
5.54331,540.54477,534.7225,553.89176
5.55269,541.82305,535.99962,566.39675
5.56214,543.18685,537.43219,569.15877
5.57175,544.7495,539.14241,559.36406
5.58113,546.03117,540.23853,559.51954
5.58976,546.38768,539.96188,567.102
5.59822,546.53142,539.96648,555.01554
5.60667,546.67517,540.11868,555.27324
5.61601,547.90085,542.10426,586.36592
5.62496,548.6552,542.54057,581.55138
5.6344,550.00833,544.31853,570.1016
5.64381,551.32797,545.62435,581.50505
5.65339,552.85029,547.29685,575.67514
5.66297,554.37939,548.84023,570.34994
5.67237,555.6753,549.98379,580.16058
5.68182,557.04954,551.4218,578.26777
5.69137,558.53825,552.99947,586.40684
5.70091,560.01076,554.47029,569.79965
5.71032,561.33059,555.69361,585.35362
5.71983,562.76353,557.21453,614.46141
5.72911,563.92809,558.20219,607.01622
5.73822,564.86816,558.99566,612.24768
5.7477,566.27463,560.73513,609.02191
5.75674,567.13644,561.22814,584.32903
5.76614,568.44604,562.85778,614.11206
5.7753,569.45439,563.66632,582.87085
5.78422,570.16921,564.18643,626.34019
